master_row_id,experiment_id,timestamp,source_endpoint,destination_endpoint,protocol,connection_state,label,predicted_label,max_confidence,flow_duration,total_bytes,total_packets,bytes_per_packet,orig_bytes_ratio,win_src_flow_count_60s,win_src_unique_dst_ports_60s,win_dst_avg_bytes_per_flow_60s,win_pair_delta_t_mean,win_pair_delta_t_cv,win_pair_orig_bytes_std,dns_query_len,dns_query_entropy,prob_benign,prob_ddos,prob_recon,prob_dns_tunnel,prob_c2_beacon,prob_slow_http
369,exp_ddos_udp_002,1788289961.867695,127.0.0.1:1294,127.0.0.1:9999,udp,S0,DDOS,RECON,0.9943287523245261,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.1324298447569376e-05,1.0361121031816332e-05,0.9943287523245261,1.2870937073214975e-05,1.7210689902260445e-05,0.0056094806290188995
366,exp_ddos_udp_002,1788289961.867707,127.0.0.1:3,127.0.0.1:3,icmp,OTH,DDOS,BENIGN,0.9999534120898274,1.79063,68400.0,150.0,456.0,1.0,2.0,2.0,34200.0,0.0,0.0,34200.0,0.0,0.0,0.9999534120898274,2.712045511039458e-07,2.1321394731803602e-06,7.102411018472054e-07,2.9062944580216244e-06,4.0568030588468514e-05
337,exp_ddos_udp_002,1788289961.877765,127.0.0.1:1295,127.0.0.1:9999,udp,S0,DDOS,RECON,0.8449947303649662,0.0,0.0,1.0,0.0,0.0,3.0,2.0,22800.0,0.005,0.9974,32244.0692,0.0,0.0,0.14274930842217012,5.4218448443902016e-05,0.8449947303649662,0.00010244441760377065,8.326051457686576e-05,0.012016037832239111
400,exp_ddos_udp_002,1788289961.887838,127.0.0.1:1296,127.0.0.1:9999,udp,S0,DDOS,RECON,0.8455798892277662,0.0,0.0,1.0,0.0,0.0,4.0,2.0,17100.0,0.0067,0.7057,29618.0688,0.0,0.0,0.14220936017258892,5.4013367546096896e-05,0.8455798892277662,0.00010316887375511217,8.298110422738678e-05,0.011970587254116302
324,exp_ddos_udp_002,1788289961.898032,127.0.0.1:1297,127.0.0.1:9999,udp,S0,DDOS,RECON,0.8455821890719546,0.0,0.0,1.0,0.0,0.0,5.0,2.0,13680.0,0.0076,0.5764,27360.0,0.0,0.0,0.14220974695966213,5.401351445395389e-05,0.8455821890719546,0.00010595155062567497,8.450538954742706e-05,0.011963593513756251
321,exp_ddos_udp_002,1788289961.908209,127.0.0.1:1298,127.0.0.1:9999,udp,S0,DDOS,RECON,0.8455582251234269,0.0,0.0,1.0,0.0,0.0,6.0,2.0,11400.0,0.0081,0.4992,25491.1749,0.0,0.0,0.14220571671032586,5.401198370141807e-05,0.8455582251234269,0.00010594854794002426,8.462674308179408e-05,0.011991470891523939
360,exp_ddos_udp_002,1788289961.918336,127.0.0.1:1299,127.0.0.1:9999,udp,S0,DDOS,BENIGN,0.5088752216323645,0.0,0.0,1.0,0.0,0.0,7.0,2.0,9771.4286,0.0084,0.4466,23935.0141,0.0,0.0,0.5088752216323645,0.0001780649125866249,0.4503314569021697,0.00034929452294499687,0.00027900187057299213,0.039986960159361054
345,exp_ddos_udp_002,1788289961.928401,127.0.0.1:1300,127.0.0.1:9999,udp,S0,DDOS,RECON,0.5087662739834684,0.0,0.0,1.0,0.0,0.0,8.0,2.0,8550.0,0.0087,0.4077,22621.1737,0.0,0.0,0.44514409215560846,0.00020411933560472834,0.5087662739834684,0.000394618830725309,0.0003152447015444323,0.0451756509930486
349,exp_ddos_udp_002,1788289961.938505,127.0.0.1:1301,127.0.0.1:9999,udp,S0,DDOS,RECON,0.5087628977503323,0.0,0.0,1.0,0.0,0.0,9.0,2.0,7600.0,0.0089,0.3775,21496.0461,0.0,0.0,0.44514113812679196,0.00021075409925581248,0.5087628977503323,0.00039461621198809996,0.0003152426095433274,0.04517535120208835
344,exp_ddos_udp_002,1788289961.948626,127.0.0.1:1302,127.0.0.1:9999,udp,S0,DDOS,RECON,0.5087606176252472,0.0,0.0,1.0,0.0,0.0,10.0,2.0,6840.0,0.009,0.3531,20520.0,0.0,0.0,0.4451391431356477,0.00021497889476175885,0.5087606176252472,0.0003947615969128386,0.00031535000792736156,0.045175148739503186
342,exp_ddos_udp_002,1788289961.95877,127.0.0.1:1303,127.0.0.1:9999,udp,S0,DDOS,RECON,0.5084631949582009,0.0,0.0,1.0,0.0,0.0,11.0,2.0,6218.1818,0.0091,0.3329,19663.6175,0.0,0.0,0.4454587960292906,0.00021957330049101353,0.5084631949582009,0.0003945308183444241,0.0003151656535627321,0.04514873924011028
341,exp_ddos_udp_002,1788289961.968918,127.0.0.1:1304,127.0.0.1:9999,udp,S0,DDOS,RECON,0.5093476490095671,0.0,0.0,1.0,0.0,0.0,12.0,2.0,5700.0,0.0092,0.3158,18904.7613,0.0,0.0,0.4445635920255428,0.00032248139549102416,0.5093476490095671,0.0003937379603487308,0.00031453228958512526,0.045058007319465354
362,exp_ddos_udp_002,1788289961.979006,127.0.0.1:1305,127.0.0.1:9999,udp,S0,DDOS,RECON,0.542014297940562,0.0,0.0,1.0,0.0,0.0,13.0,2.0,5261.5385,0.0093,0.3011,18226.5039,0.0,0.0,0.4089410997843736,0.00034316351025834833,0.542014297940562,0.0004189900641849387,0.0003346781526471168,0.047947770547974
361,exp_ddos_udp_002,1788289961.98914,127.0.0.1:1306,127.0.0.1:9999,udp,S0,DDOS,RECON,0.542014297940562,0.0,0.0,1.0,0.0,0.0,14.0,2.0,4885.7143,0.0093,0.2883,17615.6934,0.0,0.0,0.4089410997843736,0.00034316351025834833,0.542014297940562,0.0004189900641849387,0.0003346781526471168,0.047947770547974
358,exp_ddos_udp_002,1788289961.999497,127.0.0.1:1307,127.0.0.1:9999,udp,S0,DDOS,RECON,0.5510351855147084,0.0,0.0,1.0,0.0,0.0,15.0,2.0,4560.0,0.0094,0.2771,17061.9577,0.0,0.0,0.3991262219295564,0.00034882840870184236,0.5510351855147084,0.0004263098325082089,0.00034020297591452883,0.04872325133861056
363,exp_ddos_udp_002,1788289962.009731,127.0.0.1:1308,127.0.0.1:9999,udp,S0,DDOS,RECON,0.5508746782513687,0.0,0.0,1.0,0.0,0.0,16.0,2.0,4275.0,0.0095,0.267,16557.0038,0.0,0.0,0.39923901656489347,0.0003825550353016398,0.5508746782513687,0.0004264303093384853,0.0003402991186094971,0.048737020720488314
370,exp_ddos_udp_002,1788289962.019811,127.0.0.1:1309,127.0.0.1:9999,udp,S0,DDOS,RECON,0.4925832664162056,0.0,0.0,1.0,0.0,0.0,17.0,2.0,4023.5294,0.0095,0.258,16094.1176,0.0,0.0,0.45440683486760797,0.0004065065220953717,0.4925832664162056,0.00045312879447151843,0.0003618539887897486,0.05178840941082977
409,exp_ddos_udp_002,1788289962.029984,127.0.0.1:1310,127.0.0.1:9999,udp,S0,DDOS,RECON,0.5448590847283634,0.0,0.0,1.0,0.0,0.0,18.0,2.0,3800.0,0.0095,0.2498,15667.8014,0.0,0.0,0.3965052959454207,0.0004496473726694741,0.5448590847283634,0.0005012174733747628,0.00040025605126971795,0.05728449842890185
364,exp_ddos_udp_002,1788289962.040239,127.0.0.1:1311,127.0.0.1:9999,udp,S0,DDOS,RECON,0.5448590847283634,0.0,0.0,1.0,0.0,0.0,19.0,2.0,3600.0,0.0096,0.2423,15273.5065,0.0,0.0,0.3965052959454207,0.0004496473726694741,0.5448590847283634,0.0005012174733747628,0.00040025605126971795,0.05728449842890185
373,exp_ddos_udp_002,1788289962.050408,127.0.0.1:1312,127.0.0.1:9999,udp,S0,DDOS,RECON,0.5448590847283634,0.0,0.0,1.0,0.0,0.0,20.0,2.0,3420.0,0.0096,0.2355,14907.4344,0.0,0.0,0.3965052959454207,0.0004496473726694741,0.5448590847283634,0.0005012174733747628,0.00040025605126971795,0.05728449842890185
346,exp_ddos_udp_002,1788289962.060529,127.0.0.1:1313,127.0.0.1:9999,udp,S0,DDOS,RECON,0.5719157977350586,0.0,0.0,1.0,0.0,0.0,21.0,2.0,3257.1429,0.0096,0.2292,14566.3857,0.0,0.0,0.3665368445304907,0.0004719760449033193,0.5719157977350586,0.0005261070231889185,0.0004201320401481945,0.060129142626210205
381,exp_ddos_udp_002,1788289962.0706,127.0.0.1:1314,127.0.0.1:9999,udp,S0,DDOS,RECON,0.5718861551627872,0.0,0.0,1.0,0.0,0.0,22.0,2.0,3109.0909,0.0097,0.2234,14247.6444,0.0,0.0,0.36651784681273714,0.0005237818908073335,0.5718861551627872,0.0005260797548995667,0.0004201102645749143,0.06012602611419396
347,exp_ddos_udp_002,1788289962.080731,127.0.0.1:1315,127.0.0.1:9999,udp,S0,DDOS,RECON,0.5861022723023104,0.0,0.0,1.0,0.0,0.0,23.0,2.0,2973.913,0.0097,0.218,13948.8886,0.0,0.0,0.3507705579262905,0.000536802217751878,0.5861022723023104,0.0005391572028371814,0.0004305534912185337,0.061620656859591366
375,exp_ddos_udp_002,1788289962.090804,127.0.0.1:1316,127.0.0.1:9999,udp,S0,DDOS,RECON,0.6043366437340078,0.0,0.0,1.0,0.0,0.0,24.0,2.0,2850.0,0.0097,0.213,13668.1198,0.0,0.0,0.3305722216450426,0.0005535028031043229,0.6043366437340078,0.0005559310547077594,0.0004439485464010588,0.06353775221673648
376,exp_ddos_udp_002,1788289962.100924,127.0.0.1:1317,127.0.0.1:9999,udp,S0,DDOS,RECON,0.6046621138726539,0.0,0.0,1.0,0.0,0.0,25.0,2.0,2736.0,0.0097,0.2084,13403.6079,0.0,0.0,0.3303002950561697,0.0005530474952492623,0.6046621138726539,0.0005554737493885073,0.0004435833571747613,0.06348548646936374
367,exp_ddos_udp_002,1788289962.110992,127.0.0.1:1318,127.0.0.1:9999,udp,S0,DDOS,RECON,0.604662426024432,0.0,0.0,1.0,0.0,0.0,26.0,2.0,2630.7692,0.0097,0.204,13153.8462,0.0,0.0,0.33030046557094495,0.0005530477807554236,0.604662426024432,0.0005554740361472021,0.00044306734450319025,0.06348551924321715
